student_uid,pillar,current_term,cgpa,prereq_ct_grade,used_pytorch_tensorflow,used_big_data_tools,diag_python_mod_answer,diag_pvalue_answer,diag_pca_answer,grit_distracted_by_new_ideas,grit_setbacks_dont_discourage_me,grit_short_term_obsession_then_loss,grit_i_am_a_hard_worker,grit_i_change_goals,grit_i_finish_what_i_begin,cse_debug_python_without_help,cse_learn_new_ml_library,cse_explain_model_theory,cse_interpret_complex_viz,hours_per_week_planned,commute_minutes_daily,team_formed_for_final_project,laptop_or_cloud_ready,final_course_score
STU_001,ASD,Term 7,4.62,A/A+,Yes,No,Error,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,3,3,2,4,3,4,3,5,3,3,7,21,Yes,Yes,83.0
STU_002,ASD,Term 6,4.0,A-,No,Yes,2,Statistically significant (reject H0),Integration by parts,4,3,4,3,3,3,4,3,3,4,6,63,No,Yes,65.9
STU_003,ASD,Term 6,4.13,B+,No,No,2,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,3,4,2,2,4,1,5,4,4,5,8,60,Yes,Yes,80.3
STU_004,ISTD,Term 6,4.69,A/A+,Yes,No,2,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,4,2,4,2,5,3,3,4,3,2,3,31,Yes,Yes,71.1
STU_005,ISTD,Term 7,4.63,A/A+,Yes,No,0.66,96% probability H0 is true,Finding eigenvalues and eigenvectors,2,4,4,3,2,2,4,4,4,5,7,15,Yes,Yes,68.2
STU_006,ESD,Term 7,4.05,B,Yes,Yes,0.66,Not significant (fail to reject H0),Calculating the derivative,3,5,3,2,3,2,3,5,4,4,3,69,Yes,Yes,44.9
STU_007,DAI,Term 7,4.09,A-,Yes,No,Error,Experiment failed,Finding eigenvalues and eigenvectors,2,2,3,5,1,5,3,4,4,4,6,33,Yes,No,75.7
STU_008,ISTD,Term 6,4.4,A/A+,No,No,2,Statistically significant (reject H0),Calculating the derivative,2,3,4,3,2,5,4,4,5,2,4,46,No,Yes,74.1
STU_009,ESD,Term 8,4.12,A/A+,Yes,No,2,96% probability H0 is true,Integration by parts,1,3,1,5,2,3,4,3,5,2,14,26,Yes,Yes,65.7
STU_010,ISTD,Term 6,4.03,A-,Yes,Yes,2,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,3,4,2,4,1,5,3,5,3,5,13,80,Yes,Yes,70.7
STU_011,EPD,Term 6,4.28,A/A+,Yes,No,Error,Statistically significant (reject H0),Calculating the derivative,4,1,4,1,5,1,3,3,4,4,6,58,Yes,Yes,67.6
STU_012,EPD,Term 7,4.22,B+,No,No,2,Statistically significant (reject H0),Binary tree traversal,2,4,2,3,2,4,4,5,3,3,9,28,Yes,Yes,75.1
STU_013,ISTD,Term 6,5.01,A/A+,No,Yes,2,96% probability H0 is true,Finding eigenvalues and eigenvectors,5,2,4,3,2,4,4,4,5,3,3,66,No,Yes,81.5
STU_014,ASD,Term 6,4.28,A/A+,Yes,No,2,Statistically significant (reject H0),Integration by parts,2,3,1,3,1,3,3,2,4,2,5,49,No,Yes,81.3
STU_015,EPD,Term 7,4.32,A/A+,No,Yes,2,Not significant (fail to reject H0),Calculating the derivative,4,3,4,4,5,2,3,4,5,4,3,72,Yes,Yes,70.8
STU_016,ESD,Term 8,4.01,A-,No,No,0,Not significant (fail to reject H0),Finding eigenvalues and eigenvectors,4,4,2,4,1,4,4,3,3,3,8,17,Yes,No,62.1
STU_017,ISTD,Term 8,3.94,B+,No,No,1,Not significant (fail to reject H0),Finding eigenvalues and eigenvectors,2,4,3,3,2,3,2,1,1,3,5,53,Yes,Yes,59.2
STU_018,ESD,Term 7,4.03,A-,Yes,Yes,2,Experiment failed,Finding eigenvalues and eigenvectors,3,4,3,5,4,5,5,5,5,5,,23,Yes,Yes,74.2
STU_019,EPD,Term 7,3.87,B,Yes,No,0.66,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,1,3,2,4,1,4,3,4,5,5,9,55,Yes,Yes,77.2
STU_020,ESD,Term 7,3.38,B-,Yes,No,0.66,Not significant (fail to reject H0),Binary tree traversal,3,1,3,2,3,3,5,3,4,2,7,,No,Yes,57.0
STU_021,ISTD,Term 8,4.02,A-,No,Yes,2,96% probability H0 is true,Calculating the derivative,5,1,3,2,5,1,2,3,4,3,0,25,No,Yes,54.1
STU_022,DAI,Term 8,4.54,Exempted/Di,Yes,No,1,Not significant (fail to reject H0),Finding eigenvalues and eigenvectors,2,3,2,4,2,2,2,1,2,1,4,,Yes,Yes,66.5
STU_023,DAI,Term 6,3.8,B-,No,No,2,Statistically significant (reject H0),Calculating the derivative,3,1,3,3,3,4,2,5,4,4,6,22,No,Yes,71.5
STU_024,ESD,Term 6,4.69,A/A+,Yes,No,0,Not significant (fail to reject H0),Finding eigenvalues and eigenvectors,4,2,4,1,5,2,4,3,5,5,4,22,Yes,Yes,77.1
STU_025,ESD,Term 6,,B,Yes,No,2,Statistically significant (reject H0),Finding eigenvalues and eigenvectors,4,2,3,2,4,4,4,4,2,4,7,25,Yes,Yes,85.0
STU_026,ISTD,Term 6,3.72,B,No,No,2,Statistically significant (reject H0),Calculating the derivative,4,4,2,2,3,3,3,3,3,3,6,6,No,Yes,65.3
STU_027,ESD,Term 6,3.67,B,Yes,No,1,Experiment failed,Calculating the derivative,4,2,4,2,5,2,4,4,4,4,2,9,Yes,Yes,55.0
